date,category,intentName,intentId,exposedButton1Name,exposedButton1Path,exposedButton2Name,exposedButton2Path,exposedButton3Name,exposedButton3Path,count
2026-03-13,미납,미납금 납부 약속 (납부 가능일 등록)안내,geint00000156,요금안내서 재발행 바로가기,https://app-stg.tworld.co.kr/myt-fare/billsetup/reissue?from=aichat,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,8
2026-03-13,요금관련문의,요금 납부일 변경 방법,scint00000216,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,친구찾기(PC 버전) 바로가기,https://www.tworld.co.kr/web/product/addon/set/bpcp/0000027001/NA00000468,6
2026-03-13,유선,유선 요금 납부일 변경 방법,scint00001564,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,친구찾기(PC 버전) 바로가기,https://www.tworld.co.kr/web/product/addon/set/bpcp/0000027001/NA00000468,회선관리 바로가기,https://app-stg.tworld.co.kr/common/member/line?from=aichat,6
2026-03-13,요금관련문의,타인명의 결제수단 요금 납부 방법,geint00000113,친구찾기(PC 버전) 바로가기,https://www.tworld.co.kr/web/product/addon/set/bpcp/0000027001/NA00000468,회선관리 바로가기,https://app-stg.tworld.co.kr/common/member/line?from=aichat,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,5
2026-03-13,요금관련문의,요금 납부 방법 확인 및 변경,geint00000033,회선관리 바로가기,https://app-stg.tworld.co.kr/common/member/line?from=aichat,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,요금납부일 변경 바로가기,https://app-stg.tworld.co.kr/myt-fare/bill/option?from=aichat,5
2026-03-13,요금관련문의,카드 자동납부 안내\n카드 자동납부 방법,geint00000034,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,요금납부일 변경 바로가기,https://app-stg.tworld.co.kr/myt-fare/bill/option?from=aichat,요금안내서 재발행 바로가기,https://app-stg.tworld.co.kr/myt-fare/billsetup/reissue?from=aichat,5
2026-03-13,요금관련문의,은행 자동납부 안내은행 자동납부 방법,geint00000035,요금납부일 변경 바로가기,https://app-stg.tworld.co.kr/myt-fare/bill/option?from=aichat,요금안내서 재발행 바로가기,https://app-stg.tworld.co.kr/myt-fare/billsetup/reissue?from=aichat,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,5
2026-03-13,요금관련문의,휴대폰결제 연체 가산금\n소액결제 연체 가산금,scint00000442,요금안내서 재발행 바로가기,https://app-stg.tworld.co.kr/myt-fare/billsetup/reissue?from=aichat,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,4
2026-03-13,미납,미납요금 발생 안내 및 가산금 관련,scint00000461,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,친구찾기(PC 버전) 바로가기,https://www.tworld.co.kr/web/product/addon/set/bpcp/0000027001/NA00000468,4
2026-03-13,요금관련문의,요금 조정액,scint0000835,친구찾기 자세히 보기,https://app-stg.tworld.co.kr/product/callplan?prod_id=NA00000468&from=aichat,친구찾기(PC 버전) 바로가기,https://www.tworld.co.kr/web/product/addon/set/bpcp/0000027001/NA00000468,회선관리 바로가기,https://app-stg.tworld.co.kr/common/member/line?from=aichat,3
2026-03-16,미납,미납금 납부 약속 (납부 가능일 등록)안내,geint00000156,취소하기,CANCEL,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,11
2026-03-16,요금제문의,넷플릭스 멤버십 요금제,scint00002376,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,7
2026-03-16,요금제문의,넷플릭스 멤버십 요금제 할인 제공 구간,scint0000836,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,6
2026-03-16,고객우대혜택,VIP 승급 대상 요금제,scint0000640,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,취소하기,CANCEL,6
2026-03-16,요금제문의,넷플릭스 멤버십 요금제 89구간 안내,scint0000837,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,취소하기,CANCEL,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,5
2026-03-16,고객우대혜택,VIP 요금제 프로그램,scint00000184,취소하기,CANCEL,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,4
2026-03-16,구독상품,넷플릭스 구독 월정액 안내,scint0000838,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,4
2026-03-16,구독상품,넷플릭스 해지 방법,scint00007001,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,3
2026-03-16,요금제문의,5GX 프라임플러스 넷플릭스,scint00002370,로밍 맞춤 조회 바로가기,https://troaming.tworld.co.kr/web/roaming/simulation,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,취소하기,CANCEL,3
2026-03-16,구독상품,T 우주패스 Netflix,scint00002378,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,취소하기,CANCEL,납부 가능일 등록하기,UNPAID_REG_PAYMENT_DATE,3
2026-03-17,플랫폼,AI 챗봇 안내,geint00000001,미납 요금 조회하기,https://app-stg.tworld.co.kr/myt-fare/unbill?from=aichat,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,미납센터(1575) 연결하기,1575,23
2026-03-17,로밍,로밍 문자 수신 실패,scint0000525,나의 요금 바로가기,https://app-stg.tworld.co.kr/myt-fare/submain?from=aichat,미납센터(1575) 연결하기,1575,기기 할부 정보 보기,https://app-stg.tworld.co.kr/myt-join/myplancombine/infodiscount?from=aichat,21
2026-03-17,로밍,로밍 통화 요금 발생 시점,scint00000022,미납센터(1575) 연결하기,1575,기기 할부 정보 보기,https://app-stg.tworld.co.kr/myt-join/myplancombine/infodiscount?from=aichat,T 지원금약정 안내,AG_T_SUBSIDY_INFO,21
2026-03-17,로밍,해외 로밍 설정 방법,geint00000002,기기 할부 정보 보기,https://app-stg.tworld.co.kr/myt-join/myplancombine/infodiscount?from=aichat,T 지원금약정 안내,AG_T_SUBSIDY_INFO,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,20
2026-03-17,서비스이용문의,로밍 중 통화 불가능 상태 고객센터 연결 문의,geint00000206,T 지원금약정 안내,AG_T_SUBSIDY_INFO,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,0캠퍼스,https://skt0.tworld.co.kr/app-stgweb/html/tworld/cmps/M2.html?from=aichat,20
2026-03-17,로밍,로밍 통화 요금,scint00000002,분실 신고 신청 바로가기,https://www.tworld.co.kr/web/myt-suspend/mobile/loss-find,0캠퍼스,https://skt0.tworld.co.kr/app-stgweb/html/tworld/cmps/M2.html?from=aichat,일시정지 해제 바로가기,https://app-stg.tworld.co.kr/myt-join/submain/suspend?from=aichat#temporary?from=aichat,19
